Image,Edition
"urn:cite:shot:epigimg.IMG_2314@0.037,0.2643,0.878,0.4159",urn:cts:latepig:inscriptions.doc1:1-8
"urn:cite:shot:epigimg.IMG_2496@0.104,0.491,0.814,0.1502",urn:cts:latepig:inscriptions.doc2:1-3
"urn:cite:shot:epigimg.IMG_2501@0,0.3108,0.999,0.2087",urn:cts:latepig:inscriptions.doc3:1
"urn:cite:shot:epigimg.IMG_2717@0.106,0.0886,0.805,0.8243",urn:cts:latepig:inscriptions.doc4:1-9
"urn:cite:shot:epigimg.IMG_2719@0.118,0.1547,0.819,0.6742",urn:cts:latepig:inscriptions.doc5:1-6
"urn:cite:shot:epigimg.IMG_2721@0.056,0.045,0.933,0.8183",urn:cts:latepig:inscriptions.doc6:1-8
"urn:cite:shot:epigimg.IMG_2723@0.063,0.2628,0.844,0.2628",urn:cts:latepig:inscriptions.doc7:1-3
"urn:cite:shot:epigimg.IMG_2725@0.192,0.1817,0.62,0.6456",urn:cts:latepig:inscriptions.doc8:1-4
"urn:cite:shot:epigimg.IMG_2727@0.185,0.3393,0.513,0.2733",urn:cts:latepig:inscriptions.doc9:1
"urn:cite:shot:epigimg.IMG_4579@0.418,0.4907,0.547,0.076",urn:cts:latepig:inscriptions.doc10:1
"urn:cite:shot:epigimg.IMG_4580@0.441,0.2267,0.216,0.1213",urn:cts:latepig:inscriptions.doc11:1-9
"urn:cite:shot:epigimg.IMG_4596@0.177,0.248,0.488,0.528",urn:cts:latepig:inscriptions.doc12:1-7
"urn:cite:shot:epigimg.IMG_4611@0.183,0.148,0.703,0.7533",urn:cts:latepig:inscriptions.doc13:1-12
"urn:cite:shot:epigimg.IMG_4630@0.243,0.352,0.507,0.0533",urn:cts:latepig:inscriptions.doc14:1
"urn:cite:shot:epigimg.IMG_4785@0.085,0.192,0.843,0.4933",urn:cts:latepig:inscriptions.doc15:1-2
"urn:cite:shot:epigimg.IMG_4789@0.1552,0.075,0.6396,0.871",urn:cts:latepig:inscriptions.doc16:1-13
"urn:cite:shot:epigimg.IMG_4792@0.105,0.2507,0.724,0.5933",urn:cts:latepig:inscriptions.doc17:1-4
"urn:cite:shot:epigimg.IMG_4798@0.071,0.336,0.823,0.1587",urn:cts:latepig:inscriptions.doc18:1-6
"urn:cite:shot:epigimg.IMG_5211@0.055,0.3053,0.785,0.476",urn:cts:latepig:inscriptions.doc19:1-4
"urn:cite:shot:epigimg.IMG_5212@0.085,0.304,0.851,0.4693",urn:cts:latepig:inscriptions.doc20:1-7
"urn:cite:shot:epigimg.IMG_5213@0.035,0.3693,0.896,0.32",urn:cts:latepig:inscriptions.doc21:1-3
"urn:cite:shot:epigimg.IMG_5214@0.025,0.392,0.953,0.3093",urn:cts:latepig:inscriptions.doc22:1-2
"urn:cite:shot:epigimg.IMG_5215@0.052,0.428,0.879,0.2507",urn:cts:latepig:inscriptions.doc23:1-9
"urn:cite:shot:epigimg.IMG_5216@0.133,0.1933,0.683,0.688",urn:cts:latepig:inscriptions.doc24:1-5
"urn:cite:shot:epigimg.IMG_5217@0.1892,0.1425,0.6406,0.6242",urn:cts:latepig:inscriptions.doc25:1-10
"urn:cite:shot:epigimg.IMG_5218@0.055,0.4067,0.816,0.1653",urn:cts:latepig.inscriptions.doc26:1
"urn:cite:shot:epigimg.IMG_5219@0.157,0.3427,0.662,0.4133",urn:cts:latepig.inscriptions.doc27:1-4
"urn:cite:shot:epigimg.IMG_5220@0.054,0.3427,0.918,0.1987",urn:cts:latepig.inscriptions.doc28:1
"urn:cite:shot:epigimg.IMG_5239@0.143,0.3133,0.739,0.2067",urn:cts:latepig.inscriptions.doc29:1-2
"urn:cite:shot:epigimg.IMG_5304@0.2382,0.2491,0.5826,0.5581",urn:cts:latepig.inscriptions.doc30:1-10
"urn:cite:shot:epigimg.IMG_5305@0.2593,0.168,0.5646,0.4111",urn:cts:latepig.inscriptions.doc31
