Image,Edition
"urn:cite:shot:epigimg.IMG_2314@0.037,0.2643,0.878,0.4159",urn:cts:latepig:inscriptions.doc1:1-8
"urn:cite:shot:epigimg.IMG_2496@0.104,0.491,0.814,0.1502",urn:cts:latepig:inscriptions.doc2:1-3
"urn:cite:shot:epigimg.IMG_2501@0,0.3108,0.999,0.2087",urn:cts:latepig:inscriptions.doc3:1
"urn:cite:shot:epigimg.IMG_2717@0.106,0.0886,0.805,0.8243",urn:cts:latepig:inscriptions.doc4:1-9
"urn:cite:shot:epigimg.IMG_2719@0.118,0.1547,0.819,0.6742",urn:cts:latepig:inscriptions.doc5:1-6
"urn:cite:shot:epigimg.IMG_2721@0.056,0.045,0.933,0.8183",urn:cts:latepig:inscriptions.doc6:1-8
"urn:cite:shot:epigimg.IMG_2723@0.063,0.2628,0.844,0.2628",urn:cts:latepig:inscriptions.doc7:1-3
"urn:cite:shot:epigimg.IMG_2725@0.192,0.1817,0.62,0.6456",urn:cts:latepig:inscriptions.doc8:1-4
"urn:cite:shot:epigimg.IMG_2727@0.185,0.3393,0.513,0.2733",urn:cts:latepig:inscriptions.doc9:1
"urn:cite:shot:epigimg.IMG_4579@0.418,0.4907,0.547,0.076",urn:cts:latepig:inscriptions.doc10:1
"urn:cite:shot:epigimg.IMG_4580@0.441,0.2267,0.216,0.1213",urn:cts:latepig:inscriptions.doc11:1-9
"urn:cite:shot:epigimg.IMG_4596@0.177,0.248,0.488,0.528",urn:cts:latepig:inscriptions.doc12:1-7
"urn:cite:shot:epigimg.IMG_4611@0.183,0.148,0.703,0.7533",urn:cts:latepig:inscriptions.doc13:1-12
"urn:cite:shot:epigimg.IMG_4630@0.243,0.352,0.507,0.0533",urn:cts:latepig:inscriptions.doc14:1
"urn:cite:shot:epigimg.IMG_4785@0.085,0.192,0.843,0.4933",urn:cts:latepig:inscriptions.doc15:1-2
"urn:cite:shot:epigimg.IMG_4789@0.1552,0.075,0.6396,0.871",urn:cts:latepig:inscriptions.doc16:1-13
"urn:cite:shot:epigimg.IMG_4792@0.105,0.2507,0.724,0.5933",urn:cts:latepig:inscriptions.doc17:1-4
"urn:cite:shot:epigimg.IMG_4798@0.071,0.336,0.823,0.1587",urn:cts:latepig:inscriptions.doc18:1-6
"urn:cite:shot:epigimg.IMG_5211@0.055,0.3053,0.785,0.476",urn:cts:latepig:inscriptions.doc19:1-4
"urn:cite:shot:epigimg.IMG_5212@0.085,0.304,0.851,0.4693",urn:cts:latepig:inscriptions.doc20:1-7
"urn:cite:shot:epigimg.IMG_5213@0.035,0.3693,0.896,0.32",urn:cts:latepig:inscriptions.doc21:1-3
"urn:cite:shot:epigimg.IMG_5214@0.025,0.392,0.953,0.3093",urn:cts:latepig:inscriptions.doc22:1-2
"urn:cite:shot:epigimg.IMG_5215@0.052,0.428,0.879,0.2507",urn:cts:latepig:inscriptions.doc23:1-9
"urn:cite:shot:epigimg.IMG_5216@0.133,0.1933,0.683,0.688",urn:cts:latepig:inscriptions.doc24:1-5
"urn:cite:shot:epigimg.IMG_5217@0.1892,0.1425,0.6406,0.6242",urn:cts:latepig:inscriptions.doc25:1-10
"urn:cite:shot:epigimg.IMG_5218@0.055,0.4067,0.816,0.1653",urn:cts:latepig.inscriptions.doc26:1
"urn:cite:shot:epigimg.IMG_5219@0.157,0.3427,0.662,0.4133",urn:cts:latepig.inscriptions.doc27:1-4
"urn:cite:shot:epigimg.IMG_5220@0.054,0.3427,0.918,0.1987",urn:cts:latepig.inscriptions.doc28:1
"urn:cite:shot:epigimg.IMG_5239@0.143,0.3133,0.739,0.2067",urn:cts:latepig.inscriptions.doc29:1-2
"urn:cite:shot:epigimg.IMG_5304@0.2382,0.2491,0.5826,0.5581",urn:cts:latepig.inscriptions.doc30:1-10
"urn:cite:shot:epigimg.IMG_5305@0.2593,0.168,0.5646,0.4111",urn:cts:latepig.inscriptions.doc31:1-7
"urn:cite:shot:epigimg.IMG_5309@0.2663,0.3736,0.5285,0.3923",urn:cts:latepig.inscriptions.doc32:1-5
"urn:cite:shot:epigimg.IMG_5311@0.0561,0.2423,0.8348,0.7569",urn:cts:latepig.inscriptions.doc33:1-22
"urn:cite:shot:epigimg.IMG_5312@0.077,0.392,0.84,0.448",urn:cts:latepig.inscriptions.doc34:1-4
"urn:cite:shot:epigimg.IMG_5314@0.122,0.276,0.74,0.7013",urn:cts:latepig.inscriptions.doc35:1-5
"urn:cite:shot:epigimg.IMG_5359@0.078,0.1893,0.754,0.7227",urn:cts:latepig.inscriptions.doc36:1-6
"urn:cite:shot:epigimg.IMG_5759@0.079,0.1933,0.86,0.2453",urn:cts:latepig.inscriptions.doc37:1-2
"urn:cite:shot:epigimg.IMG_5784@0.063,0.424,0.905,0.208",urn:cts:latepig.inscriptions.doc38:1-3
"urn:cite:shot:epigimg.IMG_5785@0.098,0.436,0.851,0.2093",urn:cts:latepig.inscriptions.doc39:1-3
"urn:cite:shot:epigimg.IMG_5787@0.167,0.3707,0.753,0.1267",urn:cts:latepig.inscriptions.doc40:1-2
"urn:cite:shot:epigimg.IMG_5794@0.067,0.4267,0.831,0.108",urn:cts:latepig.inscriptions.doc41:1
"urn:cite:shot:epigimg.IMG_5795@0.355,0.1147,0.348,0.84",urn:cts:latepig.inscriptions.doc42:1-14
"urn:cite:shot:epigimg.IMG_5796@0.177,0.1373,0.59,0.7347",urn:cts:latepig.inscriptions.doc43:1-12
"urn:cite:shot:epigimg.IMG_5798@0.067,0.144,0.771,0.6973",urn:cts:latepig.inscriptions.doc44:1-9
"urn:cite:shot:epigimg.IMG_5803@0.313,0.344,0.334,0.2373",urn:cts:latepig.inscriptions.doc45:1
"urn:cite:shot:epigimg.IMG_5831@0.114,0.38,0.738,0.216",urn:cts:latepig.inscriptions.doc46:1-2
"urn:cite:shot:epigimg.IMG_6398@0.048,0.1693,0.883,0.7693",urn:cts:latepig.inscriptions.doc47:1-9
"urn:cite:shot:epigimg.IMG_6416@0.129,0.4293,0.643,0.2253",urn:cts:latepig.inscriptions.doc48:1-3
"urn:cite:shot:epigimg.IMG_6516@0.161,0.24,0.55,0.56",urn:cts:latepig.inscriptions.doc49:1-7
"urn:cite:shot:epigimg.IMG_6597@0.02,0.5267,0.872,0.0933",urn:cts:latepig.inscriptions.doc50:1-2
"urn:cite:shot:epigimg.IMG_6717@0.136,0.5707,0.743,0.1933",urn:cts:latepig.inscriptions.doc51:1
"urn:cite:shot:epigimg.IMG_6720@0.162,0.5613,0.643,0.184",urn:cts:latepig.inscriptions.doc52:1
"urn:cite:shot:epigimg.IMG_6723@0.052,0.304,0.825,0.3987",urn:cts:latepig.inscriptions.doc53:1-5
"urn:cite:shot:epigimg.IMG_6724@0.018,0.1467,0.831,0.7333",urn:cts:latepig.inscriptions.doc54:1-10
"urn:cite:shot:epigimg.IMG_6725@0.087,0.1933,0.783,0.5987",urn:cts:latepig.inscriptions.doc55:1-4
"urn:cite:shot:epigimg.IMG_7002@0.047,0.2293,0.818,0.4427",urn:cts:latepig.inscriptions.doc56:1-5
"urn:cite:shot:epigimg.IMG_7006@0.097,0.24,0.797,0.536",urn:cts:latepig.inscriptions.doc57:1
"urn:cite:shot:epigimg.IMG_7033@0.021,0.1853,0.877,0.756",urn:cts:latepig.inscriptions.doc58:1-6
"urn:cite:shot:epigimg.IMG_7042@0.089,0.4347,0.835,0.16",urn:cts:latepig.inscriptions.doc59:1-3
"urn:cite:shot:epigimg.IMG_7095@0.339,0.2053,0.31,0.3053",urn:cts:latepig.inscriptions.doc60:1-4
"urn:cite:shot:epigimg.IMG_7113@0.028,0.3853,0.964,0.2373",urn:cts:latepig.inscriptions.doc61:1-4
"urn:cite:shot:epigimg.IMG_7117@0.039,0.2413,0.817,0.6107",urn:cts:latepig.inscriptions.doc62:1-6
"urn:cite:shot:epigimg.IMG_7119@0.279,0.1573,0.458,0.7253",urn:cts:latepig.inscriptions.doc63:1-15
"urn:cite:shot:epigimg.IMG_7120@0.1331,0.2086,0.7578,0.6647",urn:cts:latepig.inscriptions.doc64:1-10
"urn:cite:shot:epigimg.IMG_7121@0.0941,0.1958,0.8819,0.6624",urn:cts:latepig.inscriptions.doc65:1-8
"urn:cite:shot:epigimg.IMG_7122@0.1171,0.156,0.8599,0.6624",urn:cts:latepig.inscriptions.doc66:1-16
"urn:cite:shot:epigimg.IMG_7123@0.2703,0.1028,0.5666,0.7239",urn:cts:latepig.inscriptions.doc67:1-11
"urn:cite:shot:epigimg.IMG_7124@0.066,0.204,0.873,0.756",urn:cts:latepig.inscriptions.doc68:1-5
"urn:cite:shot:epigimg.IMG_7125@0.0631,0.1328,0.8559,0.7037",urn:cts:latepig.inscriptions.doc69:1-8
"urn:cite:shot:epigimg.IMG_7126@0.1451,0.1628,0.7477,0.7854",urn:cts:latepig.inscriptions.doc70:1-11
